feature,xgb_importance,rf_importance
cbd_outside_cbd,0.6852154,0.3010476543352081
pu_is_cbd,0.13070837,0.18425094733948205
do_is_cbd,0.08989091,0.11220199175407368
cbd_within_cbd,0.052162062,0.08087659402970158
cbd_out_of_cbd,0.012474304,0.029153846042782833
dist_short,0.006211683,0.008333401019128807
cbd_into_cbd,0.0044415416,0.02991293357379785
PULocationID,0.0025715197,0.07145064681420915
DOLocationID,0.0019056804,0.056054455212408524
pickup_zone_popularity,0.0015128321,0.030585522628890773
is_same_zone,0.0014896113,0.0026160095996792714
vendor_2,0.0008575965,0.0034619286504261135
vendor_1,0.00076345226,0.002850633950900036
dropoff_zone_popularity,0.0006283167,0.03333266306650541
trip_distance,0.0005981529,0.013653444681682197
log_trip_distance,0.00052112463,0.015479401857893328
rate_1.0,0.00051203044,0.0001283093773884908
period_early_morning,0.00047664635,0.00014231531585702132
pu_is_airport,0.00044909993,0.001140730406356016
is_airport_trip,0.00044492868,0.001530633913341188
pu_cluster_high,0.00034380206,1.993140683911284e-05
rate_2.0,0.00033030316,0.00016393774362446836
pickup_day_of_month,0.0003030491,0.0058207655073238915
dist_very_long,0.00029499765,0.00015303250433798914
is_single_passenger,0.00029440346,0.00020773996999204125
do_cluster_medium,0.00029411187,0.00032125958781567863
rate_3.0,0.0002621284,7.126874021073332e-05
is_extreme_distance,0.00026122594,6.895854201320145e-05
do_cluster_high,0.00025338255,0.00015591149916971108
do_is_airport,0.00023789593,3.3278247680735705e-05
is_weekend,0.00022187465,0.00016938970275519674
rate_4.0,0.00021753646,5.54208089789812e-06
rate_5.0,0.00021187015,9.686980941367908e-05
pax_1,0.00019390375,0.00016732519986157587
is_extreme_fare,0.00018365815,6.863080083684393e-05
do_cluster_low,0.00018256492,2.238166332339641e-05
passenger_count,0.00017296003,0.00026550419119832205
dist_medium,0.00015625988,0.001959070555651313
dist_long,0.00014302264,0.00018685015262770414
period_morning,0.00013207253,0.0001745801864232905
pickup_day_of_week,0.000120580444,0.0005552536030309334
pickup_hour,0.000115447256,0.001175317989845868
distance_x_passenger,0.00010856973,0.00565919690268077
pickup_dow_cos,0.00010649335,0.0003459791173995847
period_night,0.00010252998,9.6752209880169e-05
pickup_hour_sin,8.693164e-05,0.0008365582669282511
pax_3+,8.3493374e-05,4.073770835031316e-05
pickup_hour_cos,8.2499566e-05,0.0008545349079083703
pu_cluster_medium,7.939238e-05,1.9806296784143237e-05
is_peak_hour,7.3463874e-05,8.329682375204392e-05
pickup_dow_sin,7.137373e-05,0.0004251285724711168
hour_x_day_of_week,6.7905254e-05,0.0010052888843503954
pay_2,6.533977e-05,8.554329172980533e-05
pay_1,6.433946e-05,8.59285358987364e-05
is_rush_hour,6.372592e-05,8.367517666253054e-05
period_afternoon,6.1411025e-05,0.0001242338141460228
period_evening,6.0369206e-05,8.906714680312939e-05
pax_2,5.9712635e-05,9.739513873679982e-05
pu_cluster_low,0.0,1.3950931983345023e-08
